age,predicted brain age,predicted brain age_adjusted
9.90998768,12.7287433,11.01135328
9.57687885,10.05942675,8.260473288
9.660156057,10.42650262,8.647940018
9.743433265,8.977601039,7.219429302
9.077215606,10.11385622,8.1925576
8.993938398,10.30502025,8.363330774
8.910661191,8.143746554,6.181666217
9.493601643,9.34506968,7.525725362
9.743433265,10.50946418,8.751292444
9.826710472,10.59259315,8.854812275
8.993938398,9.760615818,7.81892634
9.077215606,8.315471498,6.394172881
9.160492813,9.926785291,8.025877533
9.160492813,9.923581334,8.022673576
8.993938398,8.964916548,7.02322707
9.077215606,8.311502451,6.390203833
9.743433265,9.582306884,7.824135147
9.410324435,10.47667833,8.636943152
9.57687885,12.0837082,10.28475474
9.160492813,9.512295125,7.611387368
9.993264887,9.527395631,7.830396474
9.57687885,9.602487908,7.803534451
9.993264887,10.75873713,9.061737969
9.826710472,10.15045112,8.412670245
9.243770021,10.00920623,8.128689333
9.243770021,8.821146493,6.940629596
9.743433265,10.50960517,8.751433438
9.743433265,8.979536043,7.221364305
9.160492813,9.926592544,8.025684787
9.493601643,9.617069728,7.797725411
9.90998768,10.67197361,8.954583598
9.243770021,10.00966419,8.129147292
9.243770021,10.01080793,8.130291032
9.660156057,10.42505427,8.646491669
9.077215606,9.841041185,7.919742568
9.077215606,10.2371844,8.315885787
9.993264887,9.227951948,7.530952791
8.993938398,9.759792738,7.81810326
9.493601643,10.25948727,8.44014295
9.243770021,10.0105729,8.130056006
9.993264887,11.03552554,9.338526386
9.57687885,9.1464676,7.347514142
9.243770021,10.0067009,8.126184001
9.660156057,10.42369219,8.645129593
8.993938398,9.760175187,7.818485709
9.993264887,10.68880561,8.991806457
9.327047228,8.560417199,6.700291161
8.993938398,9.758860836,7.817171358
9.660156057,8.894866494,7.116303897
9.243770021,10.00557262,8.125055721
9.493601643,8.728462296,6.909117979
9.660156057,10.425964,8.647401406
9.410324435,9.580830104,7.741094927
8.993938398,9.75996663,7.818277153
9.077215606,9.843371035,7.922072417
9.993264887,9.227258589,7.530259432
9.743433265,10.50799638,8.749824643
9.493601643,9.460623479,7.641279162
9.077215606,9.805237529,7.883938911
9.493601643,10.25951778,8.440173466
9.160492813,8.686747062,6.785839304
9.826710472,10.59264327,8.854862392
9.243770021,10.00452401,8.124007117
9.743433265,11.63361287,9.875441135
9.57687885,9.965474006,8.166520549
9.660156057,10.42534269,8.646780095
9.077215606,9.842470938,7.92117232
9.57687885,10.34212704,8.543173586
9.826710472,9.059573987,7.32179311
9.160492813,9.925013538,8.02410578
9.90998768,11.09936301,9.381972989
